product_id,upc_id,product_name,category,subcategory,price,description,images,sku
75904100013,7.59E+11,"GO CAT WILD THING"" SHORT""",cat,Cat Toys,4.49,,"https://static.wixstatic.com/media/342ac5_ce816802996c4b35aeca2f6311054217.jpg/v1/fill/w_389,h_597,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_ce816802996c4b35aeca2f6311054217.jpg, https://static.wixstatic.com/media/342ac5_253c42d6a4664c558997999a72764860.jpg/v1/fill/w_213,h_287,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_253c42d6a4664c558997999a72764860.jpg",
75904100014,,GO CAT PEACOCK SPARKLER SMALL,cat,Cat Toys,4.99,,"https://static.wixstatic.com/media/342ac5_4412d38a73b34901a913c063042379c9.jpg/v1/fill/w_397,h_442,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_4412d38a73b34901a913c063042379c9.jpg, https://static.wixstatic.com/media/342ac5_9ab20b2af07d4bce9a9aead7fcef51c4.jpg/v1/fill/w_484,h_610,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_9ab20b2af07d4bce9a9aead7fcef51c4.jpg",
75904100015,,GO CAT SPARKLING TICKLER,cat,Cat Toys,4.49,,"https://static.wixstatic.com/media/342ac5_f73dba3f3de54ef295560e162d4cab13.jpg/v1/fill/w_329,h_419,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_f73dba3f3de54ef295560e162d4cab13.jpg, https://static.wixstatic.com/media/342ac5_c8fa519c798e4d6b9ce5a91a0171a441.jpg/v1/fill/w_302,h_419,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_c8fa519c798e4d6b9ce5a91a0171a441.jpg, https://static.wixstatic.com/media/342ac5_d79d5b73eca5480883aa0f78d0f24a7f.jpg/v1/fill/w_320,h_419,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_d79d5b73eca5480883aa0f78d0f24a7f.jpg",
75904100017,,"GO CAT 36 SPARKLING TICKLER""",cat,Cat Toys,6.99,,"https://static.wixstatic.com/media/342ac5_f73dba3f3de54ef295560e162d4cab13.jpg/v1/fill/w_329,h_419,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_f73dba3f3de54ef295560e162d4cab13.jpg, https://static.wixstatic.com/media/342ac5_c8fa519c798e4d6b9ce5a91a0171a441.jpg/v1/fill/w_302,h_419,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_c8fa519c798e4d6b9ce5a91a0171a441.jpg, https://static.wixstatic.com/media/342ac5_d79d5b73eca5480883aa0f78d0f24a7f.jpg/v1/fill/w_320,h_419,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_d79d5b73eca5480883aa0f78d0f24a7f.jpg",
75904100077,7.59E+11,CAT TAILS TOY SHORT HANDLE,cat,Cat Toys,4.99,,"https://static.wixstatic.com/media/342ac5_3fa335744b3c4f33aadaf851861129d5.jpg/v1/fill/w_388,h_691,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_3fa335744b3c4f33aadaf851861129d5.jpg, https://static.wixstatic.com/media/342ac5_c0f8bb5f7cb24af1ba18586c80126e0e.jpg/v1/fill/w_400,h_691,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_c0f8bb5f7cb24af1ba18586c80126e0e.jpg",
75904100100,,"GO CAT 36 CAT TAIL CAT TOY""",cat,Cat Toys,6.99,,"https://static.wixstatic.com/media/342ac5_3fa335744b3c4f33aadaf851861129d5.jpg/v1/fill/w_388,h_691,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_3fa335744b3c4f33aadaf851861129d5.jpg, https://static.wixstatic.com/media/342ac5_c0f8bb5f7cb24af1ba18586c80126e0e.jpg/v1/fill/w_400,h_691,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_c0f8bb5f7cb24af1ba18586c80126e0e.jpg",
75904100102,7.59E+11,"GO CAT 36 WILD THING""",cat,Cat Toys,6.99,,"https://static.wixstatic.com/media/342ac5_ce816802996c4b35aeca2f6311054217.jpg/v1/fill/w_389,h_597,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_ce816802996c4b35aeca2f6311054217.jpg, https://static.wixstatic.com/media/342ac5_253c42d6a4664c558997999a72764860.jpg/v1/fill/w_213,h_287,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_253c42d6a4664c558997999a72764860.jpg",
75904100103,7.59E+11,"GO CAT 36 CAT SPARKLER""",cat,Cat Toys,6.99,,"https://static.wixstatic.com/media/342ac5_ef4637166d1b41a392ef53bd02573016.jpg/v1/fill/w_478,h_564,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_ef4637166d1b41a392ef53bd02573016.jpg",
75904100105,7.59E+11,GO CAT DA BIRD ROD FEATHER TOYS,cat,Cat Toys,9.99,,"https://static.wixstatic.com/media/342ac5_d339828db36948c0b77c08fecee1395d.jpg/v1/fill/w_194,h_254,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_d339828db36948c0b77c08fecee1395d.jpg, https://static.wixstatic.com/media/342ac5_83f0f8ad1c2d4973816f97b61b1de560~mv2.jpg/v1/fill/w_177,h_177,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_83f0f8ad1c2d4973816f97b61b1de560~mv2.jpg, https://static.wixstatic.com/media/342ac5_d95e59042beb46c5b5c282b340a2b284~mv2_d_2000_2000_s_2.jpg/v1/fill/w_177,h_177,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_d95e59042beb46c5b5c282b340a2b284~mv2_d_2000_2000_s_2.jpg",
75904100179,7.59E+11,"GO CAT 36 SPARKLING KITTY DUSTER""",cat,Cat Toys,6.99,,"https://static.wixstatic.com/media/342ac5_2343806191324ac6895c95bff567ad93.jpg/v1/fill/w_427,h_562,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_2343806191324ac6895c95bff567ad93.jpg, https://static.wixstatic.com/media/342ac5_32abc16c2a934390a0ad0a30b04f26c4.jpg/v1/fill/w_462,h_562,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_32abc16c2a934390a0ad0a30b04f26c4.jpg",
