product_id,product_name,category,subCategory,description,upc_no,sku,price,quantity,primaryImage,allImages
05e8a4d2-9c91-40ae-9632-ac7100049da9,Aqueon LED Deluxe Full Aquarium Hood,Aquatics,"Lights, Hoods, Canopies and Stands","Black, 1ea/20 in",15905211055,,34.817,6,https://images.salsify.com/image/upload/s---xgfqFei--/w_900/ddv4uwv6hwl2sui96vb8.jpg,https://images.salsify.com/image/upload/s---xgfqFei--/w_900/ddv4uwv6hwl2sui96vb8.jpg; https://images.salsify.com/image/upload/s--KO0-tUix--/w_900/mi4k8ubsqv1pt3qmyypw.jpg; https://images.salsify.com/image/upload/s--HYe6vrz5--/w_900/b0xszrtqduemkvfa7nlm.jpg; https://images.salsify.com/image/upload/s--YPWHcDI8--/w_900/fptgssab95d4vn6yje43.jpg; https://images.salsify.com/image/upload/s--hGqKVgRJ--/w_900/wzignfmr3xkxo7avdseo.jpg; https://images.salsify.com/image/upload/s--QtQtEa5F--/w_900/f6ymcarvpmxyfyclhbdj.jpg; https://images.salsify.com/image/upload/s--5hdbXTEl--/w_900/rrz6teh9okpdi6qip6k8.jpg; https://images.salsify.com/image/upload/s--TLgylnOn--/w_900/i00gaqvpvtfir2htzety.jpg
4eea83f8-4d4d-4c11-bdd7-ac710004bf80,CaribSea Arag-Alive Special Grade Reef Sand,Aquatics,Aquarium Supplies and Accessories,4ea/10 lb,8479017901,,10.076,4,https://images.salsify.com/image/upload/s--60knDEyJ--/w_900/dn4cb73byeprozkdktas.jpg,https://images.salsify.com/image/upload/s--60knDEyJ--/w_900/dn4cb73byeprozkdktas.jpg
10a5da91-862c-48f6-a99b-ac710004a0e7,Aqueon Replacement Filter Cartridges,Aquatics,"Air Pumps, Water Pumps and Filters",1ea/Extra SMall - 3 pk,15905064156,,3.45,96,https://images.salsify.com/image/upload/s--144J4_ZM--/w_900/bw9ypiuhajkrxt0hh3sd.jpg,https://images.salsify.com/image/upload/s--144J4_ZM--/w_900/bw9ypiuhajkrxt0hh3sd.jpg; https://images.salsify.com/image/upload/s--2ijB7Jqi--/w_900/yvuccsxajtpe7sfjcya8.jpg; https://images.salsify.com/image/upload/s--dd110piL--/w_900/kaigvhj58mazgfjd2b5q.jpg; https://images.salsify.com/image/upload/s--os6RI_Vd--/w_900/l8rg0rus1csobf8dkzgr.jpg; https://images.salsify.com/image/upload/s--eJxjK9Mn--/w_900/scwlyc9lkmdpl25q7ean.jpg; https://images.salsify.com/image/upload/s--pFjVbiqK--/w_900/xa9evog1kwxbwpvby4vl.jpg; https://images.salsify.com/image/upload/s--xsAQuwJA--/w_900/vmmh01rbyiu5kuuf146d.jpg; https://images.salsify.com/image/upload/s--fpBJ1YB0--/w_900/nuze2o1j4fg7dueax98q.jpg; https://images.salsify.com/image/upload/s--NavkG6JZ--/w_900/ebvhzwakd1ytea0uhgs0.jpg; https://images.salsify.com/image/upload/s--AgJ3rUZO--/w_900/idiltxigetoqhkcut1x8.jpg; https://images.salsify.com/image/upload/s--wcKvVLy2--/w_900/z1ltdb0nsmrqyhe0jhve.jpg
345ca626-566d-4840-9bbd-ac710004a16f,Aqueon PRO Glass Aquarium,Aquatics,"Aquariums, Tanks and Bowls",1ea/20 High,15905100205,,26.411,0,https://images.salsify.com/image/upload/s--u_6xCgrE--/w_900/t0rqsvul7lppr4optpio.jpg,https://images.salsify.com/image/upload/s--u_6xCgrE--/w_900/t0rqsvul7lppr4optpio.jpg; https://images.salsify.com/image/upload/s--zydJLZG2--/w_900/gpv3mkljoczhxzv4iu1y.jpg; https://images.salsify.com/image/upload/s--qj2J8Wio--/w_900/e63pelih7wf0m1zwoyow.jpg; https://images.salsify.com/image/upload/s--rLUWe4ZT--/w_900/moq9abhatw3525p5fl5i.jpg; https://images.salsify.com/image/upload/s--B8Q1-TwU--/w_900/irrppyrxyp4vzibyvx2x.jpg; https://images.salsify.com/image/upload/s--4BleBt6A--/w_900/fwuffjuxbxcxotms6dlj.jpg
a4d84100-6bcb-4633-b188-ac710004a3ec,Aqueon PRO QuietFlow Aquarium Power Filter,Aquatics,"Air Pumps, Water Pumps and Filters","1ea/Size 75, Up To 90 gal",15905060790,,38.27,6,https://images.salsify.com/image/upload/s--QcIDRXyD--/w_900/en20fbhdubckdawbs3ky.jpg,https://images.salsify.com/image/upload/s--QcIDRXyD--/w_900/en20fbhdubckdawbs3ky.jpg; https://images.salsify.com/image/upload/s--wC7d_3xD--/w_900/madga8vpijfu9pid01ar.jpg; https://images.salsify.com/image/upload/s--1o8twPeN--/w_900/yenscjigfexc2lbyj0zn.jpg; https://images.salsify.com/image/upload/s--G9J7IZmv--/w_900/r2x1qxsic4ftjubajbfa.jpg; https://images.salsify.com/image/upload/s--BwrmE7Un--/w_900/agfrqxoxlijl4gbu0xn7.jpg; https://images.salsify.com/image/upload/s--kNkouNm8--/w_900/ccqwekdrhtozk7ditaxk.jpg; https://images.salsify.com/image/upload/s--xZMervkl--/w_900/sqbwysq4aj3yyi3xnrbh.jpg; https://images.salsify.com/image/upload/s--eVXhO9Cf--/w_900/fv8xkip3yp5noyur59m4.jpg; https://images.salsify.com/image/upload/s--ZqxZ9TYU--/w_900/tjge3d74dosbfpiaukxd.jpg; https://images.salsify.com/image/upload/s--WPUpJMfS--/w_900/bpp3cdif4jnm0tiekhas.jpg; https://images.salsify.com/image/upload/s--Z7rYO-st--/w_900/msarublp1qgx0ud7jj0q.jpg; https://images.salsify.com/image/upload/s--BE7ysbAL--/w_900/yqnwkxszp3ttq2ko78sc.jpg; https://images.salsify.com/image/upload/s--HDNnN7nJ--/w_900/wn6pkac3gh0mdg7gcp8j.jpg
eaec363f-f060-4f21-86e3-ac710004afa9,Ocean Nutrition Formula One Flakes Fish Food,Aquatics,Food,1ea/5.5 oz,98731255158,,8.154,24,https://images.salsify.com/image/upload/s--CQ2xyXI3--/w_900/d2wkjzsemoe2trlq2sjv.jpg,https://images.salsify.com/image/upload/s--CQ2xyXI3--/w_900/d2wkjzsemoe2trlq2sjv.jpg
57ea8187-1606-4c52-bc2d-ac710004ac00,Komodo Raptor Skull Reptile Hideout,Aquatics,Aquarium Decor,"Tan, 1ea/LG",7.84E+11,,5.198,24,https://images.salsify.com/image/upload/s--kmatBLd2--/w_900/fm3tn2fe3c2dg2rm78vx.jpg,https://images.salsify.com/image/upload/s--kmatBLd2--/w_900/fm3tn2fe3c2dg2rm78vx.jpg; https://images.salsify.com/image/upload/s--LlUAeSNJ--/w_900/rizb8kwxmtbb1qjl9cfj.jpg; https://images.salsify.com/image/upload/s--xS1nkpiG--/w_900/jsrp6vpdtamqmj7i9luf.jpg
8c46aaf6-3c58-4adf-83fe-ac710004ac0e,Aqueon Glass Aquarium Fish Tank,Aquatics,"Aquariums, Tanks and Bowls","Black Silicone, Black, 1ea/65 gal",15905160650,,178.314,0,https://images.salsify.com/image/upload/s--GgPozToc--/w_900/kviafjbozf1ok4zz7dyv.jpg,https://images.salsify.com/image/upload/s--GgPozToc--/w_900/kviafjbozf1ok4zz7dyv.jpg; https://images.salsify.com/image/upload/s--GpEFaaku--/w_900/w8o5ogsvf8mipkxwn0cx.jpg; https://images.salsify.com/image/upload/s--Aq8YX_b_--/w_900/aqydu7sumbsscchvklw6.jpg; https://images.salsify.com/image/upload/s--jLhVmJDk--/w_900/iyv92aaznkczicquxee6.jpg; https://images.salsify.com/image/upload/s--BBqNbpzr--/w_900/uxdditkqxpnn4sucutwu.jpg; https://images.salsify.com/image/upload/s--59Z7d5Va--/w_900/dfxrirepzru8jgkcys5i.jpg; https://images.salsify.com/image/upload/s--fnqaEuSk--/w_900/oew8kgxjsq8forimj8wa.jpg
918d09f6-2280-4ef6-88f5-ac710004a514,Aqueon PRO Glass Aquarium,Aquatics,"Aquariums, Tanks and Bowls",1ea/5.5 gal,15905100052,,13.604,0,https://images.salsify.com/image/upload/s--QI9jPYIc--/w_900/huaarkutmtmxs74g5piq.jpg,https://images.salsify.com/image/upload/s--QI9jPYIc--/w_900/huaarkutmtmxs74g5piq.jpg; https://images.salsify.com/image/upload/s--QGVjS9f9--/w_900/tzvhxidnvyd6cfezsba8.jpg; https://images.salsify.com/image/upload/s--jLOw4drD--/w_900/d9mweda4qchdegfwdvzo.jpg
eab4935f-1f92-4c7e-aabe-ac710004e952,Seachem Laboratories Reef Glue Cyanoacrylate Adhesive Gel,Aquatics,Aquarium Care and Maintenance,"Clear, 1ea/20 g, 0.7 oz",116311502,,3.936,24,https://images.salsify.com/image/upload/s--EX7V1R4Q--/w_900/qzsi96izxjddxcyhgqsq.jpg,https://images.salsify.com/image/upload/s--EX7V1R4Q--/w_900/qzsi96izxjddxcyhgqsq.jpg
aefe40ad-fa43-4db2-b953-ac7100048300,Aquatop FORZA FZ7 Canister Filter with UV Sterilizer,Aquatics,"Air Pumps, Water Pumps and Filters","White, Grey, 1ea",8.20E+11,,74.336,2,https://images.salsify.com/image/upload/s--gc7Zc5t4--/w_900/jnfqofzgxdxvhspoa0ec.jpg,https://images.salsify.com/image/upload/s--gc7Zc5t4--/w_900/jnfqofzgxdxvhspoa0ec.jpg
e64cc525-8c08-4c1e-9d1d-ac7100049e9d,Aqueon PRO Glass Aquarium,Aquatics,"Aquariums, Tanks and Bowls",1ea/55 gal,15905100557,,93.294,0,https://images.salsify.com/image/upload/s--iivHgoQi--/w_900/um3s043ymzzlv3i91iqy.jpg,https://images.salsify.com/image/upload/s--iivHgoQi--/w_900/um3s043ymzzlv3i91iqy.jpg; https://images.salsify.com/image/upload/s--9fzvcowg--/w_900/bkkqnw4fjgegdifrfr7t.jpg; https://images.salsify.com/image/upload/s--VfIKY6nI--/w_900/cgme1bib4juayppmo08a.jpg; https://images.salsify.com/image/upload/s--eoD7MLey--/w_900/vx5ibmo7b9sowxxlx767.jpg; https://images.salsify.com/image/upload/s--B8Q1-TwU--/w_900/irrppyrxyp4vzibyvx2x.jpg; https://images.salsify.com/image/upload/s--T4icne4O--/w_900/xziewobdhls2az0ri9oo.jpg
1b611da2-8d9e-443f-adaf-b43700aa5f09,CaribSea Scaper's Select Dealer Bulk Box,Aquatics,Aquarium Decor,"Spiderwood, 1ea/S, M, L, 13 lb",8479131003,,156.4,1,https://images.salsify.com/image/upload/s---ArK-JkE--/w_900/uxlsgjx7atvnh55vftvl.jpg,https://images.salsify.com/image/upload/s---ArK-JkE--/w_900/uxlsgjx7atvnh55vftvl.jpg
