type,product_internal_id,product_sku,product_name,product_price,product_compare_to_price,product_is_inventory_tracked,product_quantity,product_quantity_out_of_stock_behaviour,product_low_stock_notification_quantity,product_quantity_minimum_allowed_for_purchase,product_quantity_maximum_allowed_for_purchase,product_is_available,product_media_main_image_url,product_media_main_image_alt,product_media_gallery_image_url_1,product_media_gallery_image_alt_1,product_media_gallery_image_url_2,product_media_gallery_image_alt_2,product_media_gallery_image_url_3,product_media_gallery_image_alt_3,product_media_gallery_image_url_4,product_media_gallery_image_alt_4,product_media_gallery_image_url_5,product_media_gallery_image_alt_5,product_media_gallery_image_url_6,product_media_gallery_image_alt_6,product_media_gallery_image_url_7,product_media_gallery_image_alt_7,product_media_gallery_image_url_8,product_media_gallery_image_alt_8,product_media_gallery_image_url_9,product_media_gallery_image_alt_9,product_media_gallery_image_url_10,product_media_gallery_image_alt_10,product_media_gallery_image_url_11,product_media_gallery_image_alt_11,product_media_gallery_image_url_12,product_media_gallery_image_alt_12,product_media_gallery_image_url_13,product_media_gallery_image_alt_13,product_media_gallery_image_url_14,product_media_gallery_image_alt_14,product_media_gallery_image_url_15,product_media_gallery_image_alt_15,product_media_gallery_image_url_16,product_media_gallery_image_alt_16,product_media_gallery_image_url_17,product_media_gallery_image_alt_17,product_description,product_category_1,product_category_2,product_category_3,product_is_featured,product_is_featured_order_by,product_brand,product_upc,product_weight,product_is_shipping_required,product_length,product_width,product_height,product_shipping_preparation_time_for_shipping_in_days,product_shipping_preparation_time_for_pickup_in_minutes,product_shipping_preparation_time_for_local_delivery_in_minutes,product_shipping_preparation_time_for_preorders_in_days,product_shipping_show_delivery_date_on_the_product_page,product_shipping_type,product_shipping_fixed_rate,product_shipping_method_markup,product_shipping_white_list,product_shipping_black_list,product_tax_class_code,product_battery_included,product_seo_title,product_seo_description,product_related_item_ids,product_related_item_skus,product_related_items_random,product_related_items_random_category,product_related_items_random_number_of_items,product_custom_price_enabled,product_subscription_enabled,product_subscription_one_time_purchase_enabled,product_subscription_one_time_purchase_price,product_subscription_price_with_signup_fee,product_subscription_recurring_interval,product_subscription_recurring_interval_count,product_google_product_category_code,product_option_name,product_option_type,product_option_is_required,product_option_value,product_option_markup,product_option_is_default_option_selection,product_option_swatch_hex_value,product_option_swatch_image,product_option_swatch_selector_is_image,category_internal_id,category_path,category_is_available,category_description,category_seo_title,category_seo_description,category_image,category_image_alt,category_order_by,source_store_id,url
product,751654388,023C TC,Alternanthera reineckii,15.99,,TRUE,3,,1,,,TRUE,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/products/751654388/4934104578.jpg,,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/products/751654388/4934084160.jpg,,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/products/751654388/4934115517.jpg,,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/products/751654388/4934104573.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Aquarium plant from tissue culture in closed cup.</p><p>This miniature version of the well-known Alternanthera is characterized by compact growth and a slower growth rate. It is particularly suitable for small aquariums or as a foreground plant in larger aquascapes. By careful trimming, it is possible to create a dense, red violet carpet of approximately 5 to 10 cm height. High light intensity and addition of CO2 improves the plants growth and overall appearance.<br></p><p><br></p><h3>Plant info</h3><table class=""specficationTable ecwid-description-table""><tbody><tr><th>Type:</th><td>Stem</td><td></td></tr><tr><th>Origin:</th><td>Cultivar</td><td><a helptextid=""plant-spec-help-origin""><img src=""https://tropica.com/graphics/web/product-spec-helptext-minus.png""></a></td></tr><tr><td colspan=""2"">Country or continent where a plant is the most common. Cultivars arise or are bred in cultivation.</td></tr><tr><th>Growth rate:</th><td>Medium</td><td><a helptextid=""plant-spec-help-growthrate""><img src=""https://tropica.com/graphics/web/product-spec-helptext-minus.png""></a></td></tr><tr><td colspan=""2"">Growth rate of the plant compared to other aquatic plants.</td></tr><tr><th>Height:</th><td>5 - 10+</td><td><a helptextid=""plant-spec-help-height""><img src=""https://tropica.com/graphics/web/product-spec-helptext-minus.png""></a></td></tr><tr><td colspan=""2"">Average height (cm) of the plant after two months in the tank.</td></tr><tr><th>Light demand:</th><td>Medium</td><td><a helptextid=""plant-spec-help-light""><img src=""https://tropica.com/graphics/web/product-spec-helptext-minus.png""></a></td></tr><tr><td colspan=""2"">The average or medium light demand of an aquarium plant is 0,5 W/L.</td></tr><tr><th>CO2 :</th><td>Medium</td><td><a helptextid=""plant-spec-help-co2""><img src=""https://tropica.com/graphics/web/product-spec-helptext-minus.png""></a></td></tr><tr><td colspan=""2"">A medium need in CO2 is 6-14 mg/L. A high demand in CO2 is approx. 15-25 mg/L.</td></tr></tbody></table>",Aquatic / Live Plants-Tissue Culture,,,TRUE,3,,,1,TRUE,0,0,0,,,,,FALSE,SELECTED_METHODS,0,0,,,default,FALSE,Alternanthera reineckii 'Mini',"Aquarium plant from tissue culture in closed cup. This miniature version of the well-known Alternanthera is characterized by compact growth and a slower growth rate. It is particularly suitable for small aquariums or as a foreground plant in larger aquascapes. By careful trimming, it is possible to…",,,TRUE,,5,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,116574270,https://www.sierrafishandpets.com/store/Alternanthera-reineckii-p751654388
product_option,751654388,023C TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,DROPDOWNLIST,TRUE,'Pink',0,FALSE,,,,,,,,,,,,,116574270,
product_option,751654388,023C TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,DROPDOWNLIST,TRUE,'Mini',1.6,FALSE,,,,,,,,,,,,,116574270,
product_option,751654388,023C TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,DROPDOWNLIST,TRUE,'Rosanervig',0.97,FALSE,,,,,,,,,,,,,116574270,
product,760864943,23,Alternanthera reineckii 'Pink',15.99,,TRUE,5,,1,,,TRUE,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/products/760864943/4991026811.png,,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/products/760864943/4991008739.png,,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/products/760864943/4991026806.png,,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/products/760864943/4991034265.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Plant in 5 cm pot. The pink underside of the leaves of Alternanthera reineckii 'Pink' provides an effective contrast to the many green plants in an aquarium - particularly when planted in groups. Stems becomes 25-50 cm tall. Good light encourages the leaves to turn red. Easy to propagate by nipping off the terminal bud and planting it in the substrate. This also makes the mother plant more bushy, because more side shoots are formed. Alternanthera reineckii 'Pink' originated in South America. </p><div><div><div><a href=""https://tropica.com/imagegen.ashx?height=720&image=/Plants/023/1.png&crop=resize&class=product"" class=""fancybox"" data-fancybox-group=""gallery""><img src=""https://tropica.com/imagegen.ashx?width=300&image=/Plants/023/1.png&crop=resize&class=product""></a></div><h3>Plant info</h3><table class=""specficationTable ecwid-description-table""><tbody><tr><th>Type:</th><td>Stem</td><td></td></tr><tr><th>Origin:</th><td>South America</td><td><a helptextid=""plant-spec-help-origin""><img src=""https://tropica.com/graphics/web/product-spec-helptext-plus.png""></a></td></tr><tr><th>Growth rate:</th><td>Medium</td><td><a helptextid=""plant-spec-help-growthrate""><img src=""https://tropica.com/graphics/web/product-spec-helptext-plus.png""></a></td></tr><tr><th>Height:</th><td>20 - 30+</td><td><a helptextid=""plant-spec-help-height""><img src=""https://tropica.com/graphics/web/product-spec-helptext-plus.png""></a></td></tr><tr><th>Light demand:</th><td>Medium</td><td><a helptextid=""plant-spec-help-light""><img src=""https://tropica.com/graphics/web/product-spec-helptext-plus.png""></a></td></tr><tr><th>CO2 :</th><td>Medium</td><td><a helptextid=""plant-spec-help-co2""><img src=""https://tropica.com/graphics/web/product-spec-helptext-plus.png""></a></td></tr></tbody></table></div><div> </div><p><br></p></div><div><div></div></div>",Aquatic / Live Plants-Potted,,,TRUE,68,,,1,TRUE,0,0,0,,,,,FALSE,GLOBAL_METHODS,0,0,,,default,FALSE,Alternanthera reineckii 'Pink',Plant in 5 cm pot. The pink underside of the leaves of Alternanthera reineckii 'Pink' provides an effective contrast to the many green plants in an aquarium - particularly when planted in groups. Stems becomes 25-50 cm tall. Good light encourages the leaves to turn red. Easy to propagate by nipping…,,,FALSE,,5,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,116574270,https://www.sierrafishandpets.com/store/Alternanthera-reineckii-Pink-p760864943
product,751645975,101 TC,Anubias Barteri "Nana",15.99,,TRUE,3,,1,,,TRUE,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/products/751645975/4934301054.jpg,,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/products/751645975/4934301059.jpg,,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/products/751645975/4934292333.jpg,,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/products/751645975/4934295134.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<ol><li>Anubias barteri var. nana is a small, attractive plant that thrives in all conditions.</li></ol><p>It originates from Cameroon and will reach 5-10 cm height. The rhizome will be 10-15 cm or more. It grows slowly, and the leaves survive for several years, giving slow-growing algae the chance to become established. The best result is achieved by planting on a stone or tree root. Fishing line can be used to attach the plant until it gains a hold. If planted on the bottom the rhizome must not be covered because it tends to rot.</p><p>It flowers frequently under water and will thrive in shady places, where other plants will not. It is not eaten by herbivorous fish.</p><p><br></p><h3>Plant info</h3><table class=""specficationTable ecwid-description-table""><tbody><tr><th>Origin:</th><td>Africa</td><td><a helptextid=""plant-spec-help-origin""><img src=""https://tropica.com/graphics/web/product-spec-helptext-minus.png""></a></td></tr><tr><td colspan=""2"">Country or continent where a plant is the most common. Cultivars arise or are bred in cultivation.</td></tr><tr><th>Growth rate:</th><td>Slow</td><td><a helptextid=""plant-spec-help-growthrate""><img src=""https://tropica.com/graphics/web/product-spec-helptext-minus.png""></a></td></tr><tr><td colspan=""2"">Growth rate of the plant compared to other aquatic plants.</td></tr><tr><th>Height:</th><td>5 - 15+</td><td><a helptextid=""plant-spec-help-height""><img src=""https://tropica.com/graphics/web/product-spec-helptext-minus.png""></a></td></tr><tr><td colspan=""2"">Average height (cm) of the plant after two months in the tank.</td></tr><tr><th>Light demand:</th><td>Low</td><td><a helptextid=""plant-spec-help-light""><img src=""https://tropica.com/graphics/web/product-spec-helptext-plus.png""></a></td></tr><tr><th>CO2 :</th><td>Not Required</td><td><a helptextid=""plant-spec-help-co2""><img src=""https://tropica.com/graphics/web/product-spec-helptext-plus.png""></a></td></tr></tbody></table>",Aquatic / Live Plants-Tissue Culture,,,TRUE,27,,,0,TRUE,0,0,0,,,,,FALSE,GLOBAL_METHODS,0,0,,,default,FALSE,Anubias barteri var. nana,"Anubias barteri var. nana is a small, attractive plant that thrives in all conditions. It originates from Cameroon and will reach 5-10 cm height. The rhizome will be 10-15 cm or more. It grows slowly, and the leaves survive for several years, giving slow-growing algae the chance to become…",,,TRUE,,5,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,116574270,https://www.sierrafishandpets.com/store/Anubias-Barteri-Nana-p751645975
product_option,751645975,101 TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,DROPDOWNLIST,TRUE,barteri var. nana,0,FALSE,,,,,,,,,,,,,116574270,
product_option,751645975,101 TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,DROPDOWNLIST,TRUE,barteri ’Coin Leaf’,1.81,FALSE,,,,,,,,,,,,,116574270,
product_option,751645975,101 TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,DROPDOWNLIST,TRUE,barteri 'Mini Coin',3.41,FALSE,,,,,,,,,,,,,116574270,
product_option,751645975,101 TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,DROPDOWNLIST,TRUE,barteri nana,0.63,FALSE,,,,,,,,,,,,,116574270,
