Vendor,6 DIGITS,EACH UPC,CASE UPC,Description,U/M 1,Min Purchase Qty,Price 1,U/M 2,Price 2,Case Qty,Restriction Message
,,,,,,,,,,,
ALLIED MEMORY FOAM PRODUCTS,100954,8.63E+10,,SHEBA QUILT RND CAT BED BRN,EA,0,16.15,,0,1,
,,,,,,,,,,,
ALLIED MEMORY FOAM PRODUCTS,100956,8.63E+10,,U/A SLY SLIPPR BED SNOW LEP FUR,EA,0,24.45,,0,1,
,,,,,,,,,,,
ALLIED MEMORY FOAM PRODUCTS,100957,8.63E+10,,SHEBA QUILT ROUND CAT BED GRY,EA,0,16.15,,0,1,
,,,,,,,,,,,
ALLIED MEMORY FOAM PRODUCTS,100959,8.63E+10,,U/A SANDY ORTHO LOUNGER BLU MD,EA,0,61.58,,0,1,
,,,,,,,,,,,
ALLIED MEMORY FOAM PRODUCTS,100965,8.63E+10,,JAKE HEXAGON PET BED BLU MD,EA,0,25.42,,0,1,
,,,,,,,,,,,
ALLIED MEMORY FOAM PRODUCTS,100966,8.63E+10,,U/A JAKE HEXAGON PET BED TAN MD,EA,0,25.42,,0,1,
,,,,,,,,,,,
ALLIED MEMORY FOAM PRODUCTS,100971,8.63E+10,,"U/A CODY CUD OLIVE SM 24X21X10""",EA,0,31.34,,0,1,
,,,,,,,,,,,
ALLIED MEMORY FOAM PRODUCTS,100972,8.63E+10,,SANDY ORTHO LOUNGER BLU LG,EA,0,75.05,,0,1,
,,,,,,,,,,,
ALLIED MEMORY FOAM PRODUCTS,100975,8.63E+10,,CODY CUDDLER DOG BED TAUPE,EA,0,65.3,,0,1,
,,,,,,,,,,,
ALLIED MEMORY FOAM PRODUCTS,100980,8.63E+10,,CODY CUDDLER DOG BED GRY LG,EA,0,65.3,,0,1,
,,,,,,,,,,,
ALLIED MEMORY FOAM PRODUCTS,100981,8.63E+10,,CODY CUDDLER DOG BED TAUPE MD,EA,0,45.19,,0,1,
,,,,,,,,,,,
ALLIED MEMORY FOAM PRODUCTS,100982,8.63E+10,,SLY SLIPPER CAT BED GRY,EA,0,22.45,,0,1,
