item,mfg_no,upc_no,des,price,reg_price,sale_price,ven_code,category,instock,ytdvol,ytdsales,taxable,taxrate,taxarea,color
94571401,,945714017,SFB BETTA FOOD FD BW 1GM,4.99,0,0,949,100,6,47,186.93,,0.105,1,
11601760,DSC 1760,116017602,SLI GARLIC GUARD 250ML,10.99,0,0,390,120,3,11,119.79,,0.105,1,
11601830,,116018302,SLI PHOSGUARD 500ML,15.99,0,0,390,120,0,9,142.31,,0.105,1,
94588085,,945880859,SAN FRANSICO BEEF HEART 100g,10.99,0,0,903,110,9,68,549.12,,0.105,1,
7419861111,,74198611119,TOW C CANYON RVR 5.5#,1.59,0,0,801,558,43,933,1416.63,,0.105,1,
4808162806,,48081628065,PREVUE HENDRIX WOOD LADDER SM,9.99,0,0,949,320,2,0,0,,0.105,1,
3017206904,,30172069048,PENN PLAX FOREGROUND MONEYWORT,2.49,0,0,556,130,-1,6,14.44,,0.105,1,
3017206907,,30172069079,PENN PLAX FOREGROUND FAN BRUSH,2.49,0,0,556,130,0,6,14.19,,0.105,1,
3017206905,,30172069055,PENN PLAX FOREGROUND CLOVER,2.49,0,0,556,130,2,2,4.73,,0.105,1,
3017206906,PPBT16,30172069062,PENN PLAX FOREGROUND FAN PALM,2.49,0,0,556,130,1,5,11.95,,0.105,1,
3017206909,,30172069093,PENN PLAX FOREGROUND CAMBOMBA,2.49,0,0,556,130,1,5,12.2,,0.105,1,
3017206908,,30172069086,PENN PLAX FOREGROUND HAIR GRASS,2.49,0,0,556,130,2,5,11.95,,0.105,1,
94566190,,945661908,SFB BRINE SHRIMP HATCH KIT,24.99,0,0,390,130,0,11,272.89,,0.105,1,
4808162807,,48081628072,PREVUE HENDRIX WOOD LADDER LG,18.99,0,0,949,320,3,0,0,,0.105,1,
1027910591,,10279105917,SIM SOL DIAPER WSBL XSM,23.99,0,0,949,580,1,0,0,,0.105,1,
1027910592,,10279105924,SIM SOL DIAPER WSHBL SM,29.99,0,0,949,580,0,1,29.99,,0.105,1,
