,,,,0,4,7.69
1.00 28.990,949130 92 0.0,0.08,FT0,2,208.6,0
-1,FREQUENT BUYER CARD,2,,3,-1,-3
0.886284,COA BARK CORRECTOR CAN,580,875,19.99,1,19.99
100500,ALMOND LEAVES 2PACK,130,100,2.99,78.6,230.16
100550,ALMOND LEAVES 5PK,130,100,5.99,35,239.5
100600,ALMOND LEAVES 10PK,130,100,12.99,16,203.29
101000,BIOBALLS FILTER BALLS ZIP BAG 50CT,130,201,15.99,5,79.95
101050,BULK PRE-CUT ALGAE PAD,130,920,1.791,2,3.58
110102,CPR PLASTIC ALGAE SCRAPER,180,920,1.791,14,27.36
198765,"BULK HEAD FITTING 1/2"",180""",986,8.99,17,133.05,
198766,"BULK HEAD FITTING 3/4"",180""",986,9.99,15,135.86,
198767,"BULK HEAD FITTING 1"",130""",986,9.99,41,401.59,
198768,"BULK HEAD FITTING 1 1/2"",180""",986,10.99,5,54.95,
198769,"BULK HEAD FITTING 2"",180""",986,14.99,4,59.96,
198773,"BULK HEAD STRAINER 1 1/2"",180""",985,6.99,3,20.97,
198775,"BULK HEAD STRAINER 1"",180""",180,4.99,1,4.99,
198796,"BULK SNAPPER CLAMP 3/4"",130""",986,1.99,1,1.99,
199003,PINPOINT PH CALIBRATION PH 7.0,180,180,1.99,1,1.99
