Item,,Description,,Price,,Barcode,
ZIL67083,,Zilla Flourescent Coil Bulb - Desert 20W,,21.79,,96316670839,NEW
ZIL67082,,Zilla Flourescent Coil Bulb - Tropical 20W,,21.79,,96316670822,NEW
ZIL28096,,Zilla Canopy Series Flourescent Bulb - Desert 20W,,10.85,,96316280960,NEW
ZIL28095,,Zilla Canopy Series Flourescent Bulb - Tropical 13W,,10.75,,96316280953,NEW
CAR00532,,Caribsea Rubble Zone - One Gallon,,11.79,,8479005328,NEW
MAXXF350,,Maxspect Gyre XF350 Cloud Edition Double Package (2x Pumps - 1 Controller),,434.99,,,NEW
ZM32080,,"ZooMed Reptisun LED Fixture 9""-13""",,45.2,,,NEW
ZM32081,,"ZooMed Reptisun LED Fixture 18""-26""",,61.29,,,NEW
ZM32082,,"ZooMed Reptisun LED Fixture 30""-38""",,113.25,,,NEW
AT39362,,Aquatop Bowfront Glass Panel All In One Aquarium Kit 8.6 Gallon,,0,,850047393623,NEW
AT39363,,Aquatop Formosa Bow Front Aquarium Kit - 13 Gallon,,0,,850047393630,NEW
AT39364,,Aquatop Formosa Bow Front Aquarium Kit - 21 Gallon,,0,,850047393647,NEW
AQE00274,,Aqueon SmartClean Power Filter - 10-20 gal,,17.49,,15905002745,NEW
AQE00275,,Aqueon SmartClean Power Filter - 20-30 gal,,23.65,,15905002752,NEW
AQE00277,,Aqueon SmartClean Power Filter - 30-50 gal,,33.1,,15905002776,NEW
