Field Name,SKU,UPC,Item Name,Item Price,Size,Extended Size (Optional),Is Alcohol (Optional),,
Field Description,Merchant's unique product ID,UPC (preferably GTIN-14 format),The product name the consumer would see on the website and should not have acronyms or abbreviations,Price of an item,Size of product,Extended sizes for products with multiple in one pack (6 pack of beer),Is this an alcohol product? (TRUE yes, FALSE no). Required if alcohol is sold by business,
Herpcult ,H4B,,Herpcult Critter Box Black ,8.99,Med ,1,FALSE,,Reptile Terrarium 
Herpcult ,YKL09,,Herpcult Acrylic Terrarium Mini Flat 4*3*2,19.99,Mini ,1,FALSE,,Reptile Terrarium 
Herpcult ,YKL18B,,Herpcult Acrylic Terrarium Small Tall 6*6*9,49.99,Small,1,FALSE,,Reptile Terrarium 
Herpcult ,YKL20A,,Herpcult Acrylic Terrarium Med Flat 8*6*6,44.99,Med ,1,FALSE,,Reptile Terrarium 
Herpcult ,YKL25A,,Herpcult Acrylic Terrarium Lrg Flat 12*8*6,49.99,Lrg ,1,FALSE,,Reptile Terrarium 
Herpcult ,YKL28B,,Herpcult Acrylic Terrarium Lrg Center Top 12*8*8,59.99,Lrg ,1,FALSE,,Reptile Terrarium 
Herpcult ,YKL30B,,Herpcult Acrylic Terrarium Med Tall 8*8*12,59.99,Med ,1,FALSE,,Reptile Terrarium 
Herpcult ,YKL38A,,Herpcult Acrylic Terrarium Front Open 8*8*12,69.99,Med ,1,FALSE,,Reptile Terrarium 
Herpcult ,YKL38B-2,,Herpcult Acrylic Terrarium Front Mesh 8*8*12,69.99,Med ,1,FALSE,,Reptile Terrarium 
Herpcult ,YKL50B,,Herpcult Acrylic Terrarium XLrg Center Top 12*16*10,109.99,XLrg,1,FALSE,,Reptile Terrarium 
Herpcult ,YKL68B,,Herpcult Acrylic Terrarium Lrg Cube Mesh 10*10*10,79.99,Lrg ,1,FALSE,,Reptile Terrarium 
Herpcult ,ZW08,,Herpcult Spray Bottle White ,5.99,Small ,1,FALSE,,Reptile Terrarium 
Herpcult ,ZW10,,Herpcult Spray Mist Bottle Orange ,9.99,Med ,1,FALSE,,Reptile Terrarium 
Herpcult ,ZW18,,Herpcult Feeding Ledge ,15.99,,1,FALSE,,Reptile Decor 
Herpcult ,ZW22,,Herpcult Lighting Lamp LED UVA/UVB Spring Clip Fixture,44.99,,1,FALSE,,Reptile Lighting 
