CategoryCode,CategoryName
220,AFRICAN CICHLIDS
800,ALL BOOKS MAGAZINES
548,ALMO CANNED FOOD
210,AMERICAN CICHLID
645,AMPHIBIANS
340,ANIMAL CLIPPINGS
554,ANSWERS PET FOOD
950,AQ SRV
160,AQUARIUM FURNITURE
239,AQUARIUMS-DESKTOP L
635,ARACHNIDS
510,AVODERM
150,Aquariums and Hoods
330,BIRD CAGES & STANDS
300,BIRD FOODS
310,BIRD MED.& VITAMINS
320,BIRD TOYS & SUPPLIES
350,BIRDS-LIVE
515,BLUE BUFFALO
557,BY NATURE HOLISTIC
530,CANINE CAVIER
585,CAT FURNITURE
680,CATS AND DOGS
266,CORALS
135,Corals-Decorative
543,DAVE'S PET FOODS
666,DELETE
,
299,DIAMOND FOODS
580,DOG/CAT SUPPLIES
840,DOGSWELL FOODS
576,DR MARTY
845,EARTHBORN
,
541,EVANGER'S
230,FANCY GOLDFISH
240,FEEDERS
140,FISH EQUIPMENT
100,FISH FOODS-DRY
110,FISH FOODS-FROZEN
660,FISH LIGHTS
120,FISH MED./TREATMENTS
130,FISH SUP./DECOR
550,FLEA PRODUCTS ONLY
574,FREELY PET FOODS
,
705,FROMM PET FOODS
545,FUSSIE CAT PET FOOD
205,FW Inverts-Shrimp
215,FW Inverts-Snails
105,Fish Foods-Live
505,GO!/Now!
850,GREETING CARDS
999,General Sale
,
561,HEALTH EXTENSION
537,HORIZON PET FOOD
,
508,KOHA PET CANS
701,LIVE FEEDER RODENTS
700,LIVE INSECTS
,
190,Live Plants-Fw
195,Live Plants-Pond
196,Live Plants-Terrariu
191,Live Plants-Tropica
290,Live Rock
295,Live Sand
500,MARS PETCARE
566,MERRICK CANS
565,MERRICK PET FOODS
546,NATURAL BALANCE
568,NATURES LOGIC
540,NATURES VARIETY
559,NULO PET FOODS
542,NUTRISOURCE KLN
544,NUTRO FOODS
563,NW NATURALS
556,OC RAW
,
525,OMH WELLNESS
526,OMH WELLNESS CANS
,
520,ORIJEN PET FOODS
599,PAT'S GROOMING
560,PET COLLARS &APPAREL
570,PET GROOM & HEALTH
810,PET PHOTOGRAPH
590,PET TOYS & TREATS
870,PETITE CUISINE
,
582,PRECISE
495,PRO NATURE HOLISTIC
569,PURINA/NESTLE
235,Pond Fish
170,Pond Supplies
578,RAWZ FOODS
549,RED BARN FOOD
662,REPTILE LIGHTS
710,REPTILE SUPPLIES
640,REPTILES-LIVE
536,ROYAL CANIN
720,Reptile Cages/Stands
730,Reptile Foods
250,SALTWATER FISH
821,SCRUMPS CANS
620,SM.AN. FOODS&TREATS
600,SM.ANIMAL CAGES
630,SM.ANIMAL LIVE
610,SM.ANIMAL SUPPLIES
579,SOLID GOLD
564,STELLA & CHEWY
280,SW Invert-Echinoderm
255,SW Inverts-Anenomes
285,SW Inverts-Clams
265,SW Inverts-Corals CB
270,SW Inverts-Shrimps
275,SW Inverts-Snails
245,SW- Macro Algae
181,SwW-Filters
186,SW-LIGHTING LED
182,SW-Lighting MH
184,SW-Lighting PC
185,SW-Lighting T5
183,SW-Lighting VHO
180,SwW-Supplies
260,Sw Inverts-Corals
558,TASTE OF THE WILD
547,TIKI CAT & DOG CANS
200,TROPICAL FISH
145,Test Kits
165,Used Aquarium Supply
538,VICTOR PET FOODS
842,VITAL ESSENTIAL
860,WERUVA
390,WILD BIRD SUPPLIES
