product_id,upc_id,sku,product_name,category_id,supplier_id,price,primary_image,allImages,description
60U,8.51E+11,UNS-TANK-TRIMLESS-60U,UNS TANK TRIMLESS 60U,150,706,195.99,http://d56ygyjv466yj.cloudfront.net/thumb/111952_t.jpg,http://d56ygyjv466yj.cloudfront.net/thumb/111952_t.jpg,Ultum Nature Systems
45U,8.64E+11,UNS-TANK-TRIMLESS,UNS TANK TRIMLESS,150,706,105.99,https://images.salsify.com/image/upload/s--GpEFaaku--/w_900/w8o5ogsvf8mipkxwn0cx.jpg,https://images.salsify.com/image/upload/s--GgPozToc--/w_900/kviafjbozf1ok4zz7dyv.jpg; https://images.salsify.com/image/upload/s--GpEFaaku--/w_900/w8o5ogsvf8mipkxwn0cx.jpg; https://images.salsify.com/image/upload/s--Aq8YX_b_--/w_900/aqydu7sumbsscchvklw6.jpg; https://images.salsify.com/image/upload/s--jLhVmJDk--/w_900/iyv92aaznkczicquxee6.jpg; https://images.salsify.com/image/upload/s--BBqNbpzr--/w_900/uxdditkqxpnn4sucutwu.jpg; https://images.salsify.com/image/upload/s--59Z7d5Va--/w_900/dfxrirepzru8jgkcys5i.jpg; https://images.salsify.com/image/upload/s--fnqaEuSk--/w_900/oew8kgxjsq8forimj8wa.jpg,Premium UNS 60U Ultra-Clear Glass Tank with 45-degree mitered edges
5N,8.64E+11,UNS-TANK-TRIMLESS-5N,UNS TANK TRIMLESS 5N,150,706,61.99,https://images.salsify.com/image/upload/s--Aq8YX_b_--/w_900/aqydu7sumbsscchvklw6.jpg,https://images.salsify.com/image/upload/s--GgPozToc--/w_900/kviafjbozf1ok4zz7dyv.jpg; https://images.salsify.com/image/upload/s--GpEFaaku--/w_900/w8o5ogsvf8mipkxwn0cx.jpg; https://images.salsify.com/image/upload/s--Aq8YX_b_--/w_900/aqydu7sumbsscchvklw6.jpg; https://images.salsify.com/image/upload/s--jLhVmJDk--/w_900/iyv92aaznkczicquxee6.jpg; https://images.salsify.com/image/upload/s--BBqNbpzr--/w_900/uxdditkqxpnn4sucutwu.jpg; https://images.salsify.com/image/upload/s--59Z7d5Va--/w_900/dfxrirepzru8jgkcys5i.jpg; https://images.salsify.com/image/upload/s--fnqaEuSk--/w_900/oew8kgxjsq8forimj8wa.jpg,Ultum Nature Systems
3N,8.64E+11,UNS-TANK-TRIMLESS,UNS TANK TRIMLESS,150,706,49.99,https://images.salsify.com/image/upload/s--jLhVmJDk--/w_900/iyv92aaznkczicquxee6.jpg,https://images.salsify.com/image/upload/s--GgPozToc--/w_900/kviafjbozf1ok4zz7dyv.jpg; https://images.salsify.com/image/upload/s--GpEFaaku--/w_900/w8o5ogsvf8mipkxwn0cx.jpg; https://images.salsify.com/image/upload/s--Aq8YX_b_--/w_900/aqydu7sumbsscchvklw6.jpg; https://images.salsify.com/image/upload/s--jLhVmJDk--/w_900/iyv92aaznkczicquxee6.jpg; https://images.salsify.com/image/upload/s--BBqNbpzr--/w_900/uxdditkqxpnn4sucutwu.jpg; https://images.salsify.com/image/upload/s--59Z7d5Va--/w_900/dfxrirepzru8jgkcys5i.jpg; https://images.salsify.com/image/upload/s--fnqaEuSk--/w_900/oew8kgxjsq8forimj8wa.jpg,Ultum Nature Systems
20C,,UNS-TRIMLESS-8-8-8-CUBE-TANK,UNS TRIMLESS 8*8*8 CUBE TANK,150,706,55.99,https://images.salsify.com/image/upload/s--yWxYffXE--/w_900/u63er9ja5l8i5qhzyweq.jpg,https://images.salsify.com/image/upload/s--yWxYffXE--/w_900/u63er9ja5l8i5qhzyweq.jpg,Ultum Nature Systems
4.52E+10,,UNS-NATURE-BOTTLE-CO2-SYSTEM,UNS NATURE BOTTLE CO2 SYSTEM,130,706,21.99,https://images.salsify.com/image/upload/s--joseCzbq--/w_900/ykroeggoycd070zj8yvg.jpg,https://images.salsify.com/image/upload/s--joseCzbq--/w_900/ykroeggoycd070zj8yvg.jpg,Ultum Nature Systems
4.52E+10,4.52E+10,UNS-PLANT-FERTILIZER-FOOD-AIO,UNS PLANT FERTILIZER FOOD AIO,120,706,19.99,https://images.salsify.com/image/upload/s--LfOwTdIX--/w_900/fznnww0nptp0fypdhdao.jpg,https://images.salsify.com/image/upload/s--LfOwTdIX--/w_900/fznnww0nptp0fypdhdao.jpg; https://images.salsify.com/image/upload/s--uv8St4sM--/w_900/ov06bv6cb77kv9wkzo48.jpg,Ultum Nature Systems
90L,8.51E+11,UNS-90L-TRIMLESS-36-12-12-AQUARIUM,UNS 90L TRIMLESS 36*12*12 AQUARIUM,150,706,289.99,https://images.salsify.com/image/upload/s--59Z7d5Va--/w_900/dfxrirepzru8jgkcys5i.jpg,https://images.salsify.com/image/upload/s--GgPozToc--/w_900/kviafjbozf1ok4zz7dyv.jpg; https://images.salsify.com/image/upload/s--GpEFaaku--/w_900/w8o5ogsvf8mipkxwn0cx.jpg; https://images.salsify.com/image/upload/s--Aq8YX_b_--/w_900/aqydu7sumbsscchvklw6.jpg; https://images.salsify.com/image/upload/s--jLhVmJDk--/w_900/iyv92aaznkczicquxee6.jpg; https://images.salsify.com/image/upload/s--BBqNbpzr--/w_900/uxdditkqxpnn4sucutwu.jpg; https://images.salsify.com/image/upload/s--59Z7d5Va--/w_900/dfxrirepzru8jgkcys5i.jpg; https://images.salsify.com/image/upload/s--fnqaEuSk--/w_900/oew8kgxjsq8forimj8wa.jpg,Ultum Nature Systems
4.52E+10,,UNS-PLANT-FOOD-IRON-FERTILIZER,UNS PLANT FOOD IRON FERTILIZER,130,706,19.99,https://images.salsify.com/image/upload/s--uv8St4sM--/w_900/ov06bv6cb77kv9wkzo48.jpg,https://images.salsify.com/image/upload/s--LfOwTdIX--/w_900/fznnww0nptp0fypdhdao.jpg; https://images.salsify.com/image/upload/s--uv8St4sM--/w_900/ov06bv6cb77kv9wkzo48.jpg,Ultum Nature Systems
8.51E+10,,UNS-CONTROSOIL-BROWN-FINE-3L,UNS CONTROSOIL BROWN FINE 3L,130,706,29.99,https://images.salsify.com/image/upload/s--dQ_Hosp2--/w_900/ejhvfuhmnehdeqmcronb.jpg,https://images.salsify.com/image/upload/s--dQ_Hosp2--/w_900/ejhvfuhmnehdeqmcronb.jpg; https://images.salsify.com/image/upload/s--M8prXm2w--/w_900/xel7jdpuymcjnsmcerep.jpg; https://images.salsify.com/image/upload/s--bb6nZcOE--/w_900/f0cenhif7ifwiavwfg4e.jpg; https://images.salsify.com/image/upload/s--_jNe3Iff--/w_900/p9uctmppy1jet21ptrru.jpg; https://images.salsify.com/image/upload/s--a2UHrOjT--/w_900/u7aeiiljvjvrxwdevurb.jpg; https://images.salsify.com/image/upload/s--3l5zn-Kj--/w_900/q5my0rknyoflxjw2p4ge.jpg; https://images.salsify.com/image/upload/s--TCzst-LS--/w_900/md6otbxdubrmyexqez8q.jpg; https://images.salsify.com/image/upload/s--Q3gYWZ7H--/w_900/e6orushzw4qnxkudxjam.jpg; https://images.salsify.com/image/upload/s--1MLngj8q--/w_900/cpcgkmlgoynleymqk00t.jpg,Ultum Nature Systems
